"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","ALCOHOL","TOT","LT_CAP15","A","2016",8.2,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DNK","ALCOHOL","TOT","LT_CAP15","A","2016",9.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2016",8.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2016",10.9,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2016",6.5,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2016",7.5,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2016",11.2,"E"
"ITA","ALCOHOL","TOT","LT_CAP15","A","2016",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2016",7.2,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2016",8.7,
"LUX","ALCOHOL","TOT","LT_CAP15","A","2016",11.3,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2016",4.4,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2016",8.3,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2016",8.9,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2016",6,
"POL","ALCOHOL","TOT","LT_CAP15","A","2016",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2016",10.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2016",9.9,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2016",8.6,
"SWE","ALCOHOL","TOT","LT_CAP15","A","2016",7.2,
"CHE","ALCOHOL","TOT","LT_CAP15","A","2016",9.3,
"TUR","ALCOHOL","TOT","LT_CAP15","A","2016",1.3,
"GBR","ALCOHOL","TOT","LT_CAP15","A","2016",9.5,
"BRA","ALCOHOL","TOT","LT_CAP15","A","2016",6.3,
"CHL","ALCOHOL","TOT","LT_CAP15","A","2016",7.9,"E"
"CHN","ALCOHOL","TOT","LT_CAP15","A","2016",5.7,
"EST","ALCOHOL","TOT","LT_CAP15","A","2016",9.9,
"IND","ALCOHOL","TOT","LT_CAP15","A","2016",3,
"IDN","ALCOHOL","TOT","LT_CAP15","A","2016",0.3,
"ISR","ALCOHOL","TOT","LT_CAP15","A","2016",2.6,
"RUS","ALCOHOL","TOT","LT_CAP15","A","2016",10.3,
"SVN","ALCOHOL","TOT","LT_CAP15","A","2016",10.5,
"ZAF","ALCOHOL","TOT","LT_CAP15","A","2016",7.1,
"COL","ALCOHOL","TOT","LT_CAP15","A","2016",4.5,
"LVA","ALCOHOL","TOT","LT_CAP15","A","2016",11.2,
"LTU","ALCOHOL","TOT","LT_CAP15","A","2016",13.2,
"CRI","ALCOHOL","TOT","LT_CAP15","A","2016",3.7,
